xLi,Uocp_V
0.0,1.28986431783454
2.1455870818880957e-06,1.289000000000001
4.627992276075212e-06,1.2880000000000011
7.1103974702622745e-06,1.2870000000000013
9.592802664449933e-06,1.2860000000000011
1.2075207858637592e-05,1.285000000000001
1.4557613052824708e-05,1.2840000000000011
1.704001824701177e-05,1.2830000000000013
1.952242344119943e-05,1.2820000000000011
2.2004828635387088e-05,1.281000000000001
2.4487233829574204e-05,1.2800000000000011
2.6969639023761267e-05,1.2790000000000012
2.9452044217948925e-05,1.2780000000000011
3.1934449412136584e-05,1.277000000000001
3.44168546063237e-05,1.2760000000000011
3.689925980051082e-05,1.2750000000000012
3.938166499469842e-05,1.2740000000000011
4.186407018888608e-05,1.273000000000001
4.4346475383073196e-05,1.2720000000000011
4.682888057726031e-05,1.2710000000000012
4.931128577144792e-05,1.2700000000000011
5.1793690965635576e-05,1.269000000000001
5.427609615982269e-05,1.2680000000000011
5.675850135400981e-05,1.2670000000000012
5.924090654819747e-05,1.2660000000000011
6.172331174238507e-05,1.265000000000001
6.420571693657219e-05,1.2640000000000011
6.66881221307593e-05,1.2630000000000012
6.917052732494696e-05,1.2620000000000011
7.165293251913457e-05,1.261000000000001
7.413533771332168e-05,1.2600000000000011
7.66177429075088e-05,1.2590000000000012
7.910014810169646e-05,1.2580000000000011
8.158255329588412e-05,1.257000000000001
8.406495849007118e-05,1.2560000000000011
8.65473636842583e-05,1.2550000000000012
8.902976887844596e-05,1.2540000000000011
9.151217407263361e-05,1.253000000000001
9.399457926682068e-05,1.2520000000000011
9.647698446100779e-05,1.2510000000000012
9.895938965519545e-05,1.250000000000001
0.00010144179484938311,1.249000000000001
0.00010392420004357017,1.248000000000001
0.00010640660523775729,1.2470000000000012
0.00010888901043194495,1.246000000000001
0.0001113714156261326,1.245000000000001
0.00011385382082031967,1.244000000000001
0.00011633622601450678,1.2430000000000012
0.00011881863120869444,1.242000000000001
0.0001213010364028821,1.241000000000001
0.00012378344159706922,1.240000000000001
0.00012626584679125628,1.2390000000000012
0.00012874825198544394,1.238000000000001
0.0001312306571796316,1.237000000000001
0.00013371306237381871,1.236000000000001
0.00013619546756800578,1.2350000000000012
0.00013867787276219344,1.234000000000001
0.0001411602779563811,1.233000000000001
0.0001436426831505682,1.232000000000001
0.00014612508834475527,1.2310000000000012
0.00014860749353894293,1.230000000000001
0.0001510898987331306,1.229000000000001
0.0001535723039273177,1.228000000000001
0.00015605470912150477,1.2270000000000012
0.00015853711431569243,1.226000000000001
0.00016101951950988009,1.225000000000001
0.0001635019247040672,1.224000000000001
0.00016598432989825432,1.2230000000000012
0.00016846673509244192,1.222000000000001
0.00017094914028662958,1.221000000000001
0.0001734315454808167,1.220000000000001
0.00017591395067500381,1.2190000000000012
0.00017839635586919142,1.218000000000001
0.00018087876106337908,1.217000000000001
0.0001833611662575662,1.216000000000001
0.0001858435714517533,1.2150000000000012
0.00018832597664594097,1.214000000000001
0.00019080838184012857,1.213000000000001
0.0001932907870343157,1.212000000000001
0.0001957731922285028,1.2110000000000012
0.00019825559742269047,1.210000000000001
0.00020073800261687807,1.209000000000001
0.00020322040781106519,1.208000000000001
0.0002057028130052523,1.2070000000000012
0.00020818521819943996,1.206000000000001
0.00021066762339362762,1.205000000000001
0.00021315002858781468,1.204000000000001
0.0002156324337820018,1.2030000000000012
0.00021811483897618946,1.202000000000001
0.00022059724417037712,1.201000000000001
0.00022307964936456418,1.200000000000001
0.0002255620545587513,1.1990000000000012
0.00022804445975293895,1.198000000000001
0.00023052686494712659,1.197000000000001
0.0002330092701413137,1.196000000000001
0.0002354916753355008,1.1950000000000012
0.00023797408052968845,1.194000000000001
0.0002404564857238761,1.193000000000001
0.0002429388909180632,1.192000000000001
0.0002454212961122503,1.1910000000000012
0.00024790370130643795,1.190000000000001
0.0002503861065006256,1.189000000000001
0.00025286851169481267,1.188000000000001
0.0002553509168889998,1.1870000000000012
0.00025783332208318744,1.186000000000001
0.0002603157272773751,1.185000000000001
0.0002627981324715622,1.184000000000001
0.0002652805376657493,1.1830000000000012
0.00026776294285993694,1.182000000000001
0.0002702453480541246,1.181000000000001
0.00027272775324831166,1.180000000000001
0.00027521015844249883,1.1790000000000012
0.00027769256363668643,1.178000000000001
0.0002801749688308741,1.177000000000001
0.0002826573740250612,1.176000000000001
0.00028513977921924827,1.1750000000000012
0.000287622184413436,1.174000000000001
0.0002901045896076236,1.173000000000001
0.0002925869948018107,1.172000000000001
0.0002950693999959978,1.1710000000000012
0.0002975518051901854,1.170000000000001
0.0003000342103843731,1.169000000000001
0.0003025166155785602,1.168000000000001
0.00030499902077274726,1.1670000000000011
0.000307481425966935,1.166000000000001
0.0003099638311611226,1.165000000000001
0.0003124462363553097,1.164000000000001
0.0003149286415494968,1.1630000000000011
0.0003174110467436844,1.162000000000001
0.00031989345193787213,1.161000000000001
0.0003223758571320592,1.160000000000001
0.00032485826232624625,1.1590000000000011
0.00032734066752043397,1.158000000000001
0.00032982307271462157,1.157000000000001
0.0003323054779088087,1.156000000000001
0.0003347878831029958,1.1550000000000011
0.0003372702882971834,1.154000000000001
0.0003397526934913711,1.153000000000001
0.0003422350986855582,1.152000000000001
0.0003447175038797453,1.1510000000000011
0.00034719990907393296,1.150000000000001
0.00034968231426812056,1.149000000000001
0.0003521647194623077,1.148000000000001
0.0003546471246564948,1.1470000000000011
0.00035712952985068246,1.146000000000001
0.0003596119350448701,1.145000000000001
0.0003620943402390572,1.144000000000001
0.0003645767454332443,1.1430000000000011
0.00036705915062743195,1.142000000000001
